STATE,CONSTITUENCY, Assets , Liabilities ,NAME,WINNER,PARTY,SYMBOL,GENDER,"CRIMINAL
CASES",AGE,CATEGORY,EDUCATION,"GENERAL
VOTES","POSTAL
VOTES","TOTAL
VOTES","OVER TOTAL ELECTORS 
IN CONSTITUENCY","OVER TOTAL VOTES POLLED 
IN CONSTITUENCY",TOTAL ELECTORS,
Telangana,ADILABAD,3099414,231450,SOYAM BAPU RAO,1,BJP,Lotus,MALE,52,52,ST,12th Pass,376892,482,377374,25.33068419,35.4682479,1489790,"Rs 30,99,414
 ~ 30 Lacs+"
Telangana,ADILABAD,18477888,847000,Godam Nagesh,0,TRS,Car,MALE,0,54,ST,Post Graduate,318665,149,318814,21.39992885,29.96436953,1489790,
Telangana,ADILABAD,36491000,15300000,RATHOD RAMESH,0,INC,Hand,MALE,3,52,ST,12th Pass,314057,181,314238,21.09277146,29.53428505,1489790,
Uttar Pradesh,AGRA,74274036,8606522,Satyapal Singh Baghel,1,BJP,Lotus,MALE,5,58,SC,Doctorate,644459,2416,646875,33.38382301,56.46461464,1937690,
Uttar Pradesh,AGRA,133784385,22251891,Manoj Kumar Soni,0,BSP,Elephant,MALE,0,47,SC,Post Graduate,434199,1130,435329,22.46639039,37.99912537,1937690,
Uttar Pradesh,AGRA,55075753, -   ,Preeta Harit,0,INC,Hand,FEMALE,0,54,SC,Post Graduate,44877,272,45149,2.330042473,3.940979148,1937690,
Maharashtra,AHMADNAGAR,168664576,2623964,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,BJP,Lotus,MALE,0,37,GENERAL,Doctorate,696961,7699,704660,37.85653348,58.42515898,1861396,
Maharashtra,AHMADNAGAR,94488381,32549132,SANGRAM ARUNKAKA JAGTAP,0,NCP,Clock,MALE,1,34,GENERAL,Graduate,419364,3822,423186,22.73487211,35.08743129,1861396,
Gujarat,AHMEDABAD EAST,74699690,6252577,Patel Hasmukhbhai Somabhai,1,BJP,Lotus,MALE,0,58,GENERAL,Others,745810,4024,749834,41.3849704,67.00546171,1811851,
Gujarat,AHMEDABAD EAST,40375418,3121888,Gitaben Patel,0,INC,Hand,FEMALE,6,38,GENERAL,10th Pass,312883,2621,315504,17.41335242,28.19356176,1811851,
Gujarat,AHMEDABAD WEST,89474039, -   ,DR. KIRIT P. SOLANKI,1,BJP,Lotus,MALE,0,69,SC,Post Graduate,638241,3381,641622,39.04432316,64.21145018,1643317,
Gujarat,AHMEDABAD WEST,262997727,18943977,RAJU PARMAR,0,INC,Hand,MALE,0,68,SC,Graduate,317797,2279,320076,19.47743497,32.03216867,1643317,
Rajasthan,AJMER,85101774,8319942,Bhagirath Chaudhary,1,BJP,Lotus,MALE,0,64,GENERAL,12th Pass,811091,3985,815076,43.4395362,64.52234957,1876346,
Rajasthan,AJMER,853998231,306012685,Riju Jhunjhunwala,0,INC,Hand,MALE,0,40,GENERAL,Graduate,397420,1232,398652,21.24618807,31.55774885,1876346,
Uttar Pradesh,AKBARPUR,1141980, -   ,Devendra Singh 'Bhole',1,BJP,Lotus,MALE,0,64,GENERAL,10th Pass,577603,3679,581282,32.91292046,56.62023333,1766121,
Uttar Pradesh,AKBARPUR,134448979,13619617,Nisha Sachan,0,BSP,Elephant,FEMALE,0,46,GENERAL,Post Graduate,304553,1587,306140,17.33403317,29.81980903,1766121,
Uttar Pradesh,AKBARPUR,19097262,8600000,Rajaram Pal,0,INC,Hand,MALE,1,58,GENERAL,Graduate Professional,107592,749,108341,6.134404155,10.55304086,1766121,
Maharashtra,AKOLA,77153230,14985774,Dhotre Sanjay Shamrao,1,BJP,Lotus,MALE,1,60,GENERAL,Graduate Professional,552898,1546,554444,29.72620712,49.49575293,1865169,
