CONSTITUENCY,ASSETS,LIABILITIES,NAME,WINNER,GENDER,AGE,VOTES RECEIVED,ELECTION RESULT,HAS CASES
ADILABAD,3099414,231450,SOYAM BAPU RAO,1,MALE,52,377374,1,1
ADILABAD,18477888,847000,Godam Nagesh,0,MALE,54,318814,2,0
ADILABAD,36491000,15300000,RATHOD RAMESH,0,MALE,52,314238,3,1
AGRA,74274036,8606522,Satyapal Singh Baghel,1,MALE,58,646875,1,1
AGRA,133784385,22251891,Manoj Kumar Soni,0,MALE,47,435329,2,0
AGRA,55075753,,Preeta Harit,0,FEMALE,54,45149,3,0
AHMADNAGAR,168664576,2623964,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,MALE,37,704660,1,0
AHMADNAGAR,94488381,32549132,SANGRAM ARUNKAKA JAGTAP,0,MALE,34,423186,2,1
AHMEDABAD EAST,74699690,6252577,Patel Hasmukhbhai Somabhai,1,MALE,58,749834,1,0
AHMEDABAD EAST,40375418,3121888,Gitaben Patel,0,FEMALE,38,315504,2,1
AHMEDABAD WEST,89474039,,DR. KIRIT P. SOLANKI,1,MALE,69,641622,1,0
AHMEDABAD WEST,262997727,18943977,RAJU PARMAR,0,MALE,68,320076,2,0
AJMER,85101774,8319942,Bhagirath Chaudhary,1,MALE,64,815076,1,0
AJMER,853998231,306012685,Riju Jhunjhunwala,0,MALE,40,398652,2,0
AKBARPUR,1141980,,Devendra Singh 'Bhole',1,MALE,64,581282,1,0
AKBARPUR,134448979,13619617,Nisha Sachan,0,FEMALE,46,306140,2,0
AKBARPUR,19097262,8600000,Rajaram Pal,0,MALE,58,108341,3,1
AKOLA,77153230,14985774,Dhotre Sanjay Shamrao,1,MALE,60,554444,1,1
AKOLA,58722916,,Ambedkar (Adv) Prakash Yashwant,0,MALE,64,278848,2,0
AKOLA,14947292,483635,Hidayatullah Barakatullah Patel,0,MALE,60,254370,3,1
ALAPPUZHA,15268906,2220700,Adv. A M ARIFF,1,MALE,54,445970,1,1
ALAPPUZHA,18665943,825000,Adv. SHANIMOL OSMAN,0,FEMALE,52,435496,2,0
ALAPPUZHA,16484722,,Dr. K. S. RADHAKRISHNAN,0,MALE,64,187729,3,1
ALATHUR,1152816,,RAMYA HARIDAS,1,FEMALE,32,533815,1,1
ALATHUR,4083003,519379,DR. P.K.BIJU,0,MALE,44,374847,2,0
ALATHUR,1261055,685000,T.V.BABU,0,MALE,61,89837,3,1
ALIGARH,109522559,28095176,SATISH KUMAR GAUTAM,1,MALE,46,656215,1,0
ALIGARH,281852783,,DR. AJEET BALIYAN,0,MALE,51,426954,2,0
ALIGARH,12863000,4273034,BIJENDRA SINGH CHAUDHARY,0,MALE,62,50880,3,1
ALIPURDUARS,1418730,,JOHN BARLA,1,MALE,43,750804,1,1
ALIPURDUARS,9039609,581713,DASRATH TIRKEY,0,MALE,52,506815,2,0
ALIPURDUARS,2804955,304672,MILI ORAON,0,FEMALE,42,54010,3,0
ALLAHABAD,26919330,1600000,Rita Bahuguna Joshi,1,FEMALE,69,494454,1,1
ALLAHABAD,292681002,,Rajendra Singh Patel,0,MALE,63,310179,2,0
ALMORA,9910448,55845,Ajay Tamta,1,MALE,46,444651,1,0
ALMORA,13293598,2500000,Pradeep Tamta,0,MALE,60,211665,2,1
ALWAR,352929,,Balak Nath,1,MALE,35,760201,1,0
ALWAR,136542038,,Bhanwar Jitendra Singh,0,MALE,47,430230,2,1
ALWAR,16328526,5844684,Imran Khan,0,MALE,31,56649,3,0
AMALAPURAM,85993362,2431407,CHINTA ANURADHA,1,FEMALE,46,485958,1,0
AMALAPURAM,73049918,1537488,GANTI HARISH MADHUR (BALAYOGI),0,MALE,28,446163,2,0
AMALAPURAM,28930012,,D M R SEKHAR,0,MALE,59,255317,3,1
AMBALA,54361499,188861,RATTAN LAL KATARIA,1,MALE,67,746508,1,0
AMBALA,240508152,,SELJA,0,FEMALE,56,404163,2,0
AMBALA,38090737,73613,NARESH KUMAR,0,MALE,55,96296,3,0
AMBEDKAR NAGAR,307265103,24739098,Ritesh Pandey,1,MALE,38,564118,1,1
AMBEDKAR NAGAR,24116406,12848,Mukut Bihari,0,MALE,71,468238,2,0
AMETHI,111099609,,Smriti Irani,1,FEMALE,43,468514,1,0
AMETHI,158877063,7201904,Rahul Gandhi,0,MALE,48,413394,2,1
AMRAVATI,124554656,70576979,Navnit Ravi Rana,1,FEMALE,33,510947,1,1
AMRAVATI,44015877,8545894,Adsul Anandrao Vithoba,0,MALE,71,473996,2,1
AMRAVATI,351944996,79139288,Gunwant Deopare,0,MALE,47,65135,3,1
AMRELI,35900763,828961,Kachhadiya Naranbhai Bhikhabhai,1,MALE,64,529035,1,0
AMRELI,14342991,,Paresh Dhanani,0,MALE,42,327604,2,0
AMRITSAR,34011739,9031565,GURJEET SINGH AUJLA,1,MALE,46,445032,1,0
AMRITSAR,340505737,57940950,HARDEEP SINGH PURI,0,MALE,67,345406,2,0
AMROHA,74920879,19579691,KUNWAR DANISH ALI,1,MALE,43,601082,1,0
AMROHA,1821251171,10700504,KANWAR SINGH TANWAR,0,MALE,58,537834,2,0
ANAKAPALLI,91526244,11139279,Dr.Beesetti Venkata Satyavathi,1,FEMALE,52,586226,1,0
ANAKAPALLI,410547212,205591400,ADARI ANAND KUMAR,0,MALE,43,497034,2,0
ANAKAPALLI,335308506,110928567,Chintala Partha Sarathi,0,MALE,56,82588,3,0
ANAND,77043053,7810840,PATEL MITESH RAMESHBHAI (BAKABHAI),1,MALE,54,633097,1,1
ANAND,54490955,1934855,BHARATBHAI MADHAVSINH SOLANKI,0,MALE,65,435379,2,0
